time Hut Table
248.7779703833 27.12 29.71
249.7791932833 27.11 29.71
250.7808330167 27.11 29.71
251.78698515 27.11 29.71
252.7884867833 27.11 29.71
253.7893159833 27.13 29.71
254.7908621333 27.12 29.71
255.7921457667 27.13 29.71
256.7926576333 27.13 29.72
257.79721705 27.14 29.72
258.7984938167 27.12 29.73
259.7987734833 27.14 29.73
260.7987958667 27.13 29.72
261.20643365 27.11 29.73
261.7341738667 27.11 29.72
262.7499866833 27.12 29.73
263.7506748 27.12 29.71
264.75219555 27.12 29.72
265.7534516833 27.13 29.72
266.7550170833 27.12 29.72
267.7553538333 27.12 29.72
268.7553919667 27.12 29.71
269.7568463333 27.13 29.71
270.7666946333 27.13 29.73
271.7676962667 27.12 29.71
272.7684812667 27.12 29.72
273.7693861667 27.13 29.72
274.77392745 27.13 29.71
275.7746020667 27.12 29.71
276.77625815 27.14 29.72
277.77743335 27.15 29.73
278.7776771333 27.15 29.73
279.7790826667 27.12 29.72
280.78018895 27.13 29.72
281.78167025 27.13 29.72
282.7822203 27.13 29.72
283.7913006333 27.13 29.73
284.7913693167 27.14 29.73
285.7916884 27.15 29.73
286.79220945 27.14 29.73
287.7936277 27.14 29.73
288.7944923 27.15 29.72
289.7946591333 27.13 29.72
290.79486305 27.13 29.72
291.79506545 27.11 29.74
292.79630945 27.12 29.73
293.7968636667 27.12 29.73
294.7975095 27.12 29.74
295.7975237167 27.13 29.73
296.79825745 27.12 29.71
297.79842875 27.13 29.71
298.7984791167 27.14 29.73
299.7999296333 27.13 29.73
300.7999325333 27.13 29.72
301.8010099833 27.14 29.72
302.80190925 27.14 29.73
303.8019967833 27.13 29.72
304.8024401167 27.14 29.73
305.8033656833 27.15 29.73
306.80364945 27.14 29.72
307.8046574833 27.15 29.73
308.8055621667 27.14 29.73
309.8059750333 27.14 29.73
310.8072925167 27.13 29.72
311.8083917333 27.13 29.74
312.8094353667 27.13 29.74
313.80950495 27.14 29.73
314.8103370833 27.14 29.73
315.8115845333 27.13 29.72
316.819467 27.12 29.74
317.8141018167 27.13 29.74
318.8224782333 27.13 29.73
319.8153748833 27.14 29.73
320.8169994333 27.13 29.74
321.8172730167 27.13 29.75
322.8185823833 27.14 29.74
323.8199776167 27.14 29.75
324.82025645 27.13 29.74
325.6484701833 27.14 29.74
326.5133287167 27.14 29.73
327.5142987833 27.14 29.72
328.5151720167 27.12 29.72
329.5155124167 27.13 29.73
330.52280365 27.13 29.73
331.5172009 27.13 29.72
332.5198514 27.12 29.73
333.5192925 27.13 29.72
334.5207229667 27.13 29.73
335.5221903333 27.13 29.74
336.5226397 27.13 29.73
337.5240296833 27.14 29.74
338.52438695 27.14 29.74
339.5323626167 27.13 29.74
340.5266511333 27.14 29.75
341.5282289167 27.12 29.74
342.5284504333 27.12 29.73
343.5294316833 27.12 29.74
344.53053595 27.12 29.74
345.53062285 27.12 29.74
346.5307157333 27.13 29.73
347.5315761167 27.13 29.72
348.5323781333 27.11 29.73
349.5324689167 27.13 29.74
350.53254665 27.12 29.75
351.5402599667 27.14 29.75
352.5338966667 27.13 29.74
353.5345941833 27.13 29.74
354.5359503167 27.13 29.73
355.5363110833 27.13 29.74
356.5376726 27.15 29.74
357.5381503667 27.13 29.74
358.5398055667 27.11 29.74
359.5402004 27.12 29.73
360.5415277167 27.14 29.74
361.5422612333 27.13 29.74
362.542825 27.13 29.72
363.5441479167 27.13 29.73
364.5449236167 27.13 29.73
365.5460475 27.14 29.74
366.5469316667 27.13 29.75
367.5473755333 27.14 29.74
368.5476035333 27.13 29.75
369.5477300833 27.14 29.75
370.5477884833 27.15 29.75
371.5493221833 27.15 29.76
372.5508255667 27.15 29.76
373.5514681333 27.15 29.75
374.55266595 27.15 29.75
375.55295815 27.16 29.76
376.5546308167 27.15 29.75
377.55496345 27.15 29.76
378.5555824167 27.15 29.75
379.5563573667 27.16 29.75
380.5576021 27.16 29.76
381.5587050833 27.15 29.75
382.5588562833 27.16 29.76
383.5598921333 27.16 29.76
384.5608968833 27.15 29.75
385.5609534167 27.15 29.76
386.5614807333 27.15 29.74
387.5626778333 27.15 29.75
388.5630193333 27.16 29.75
389.5646176 27.16 29.74
390.5652998333 27.13 29.74
391.0065705333 27.14 29.75
391.7110131333 27.14 29.76
392.7120964 27.14 29.75
393.71230365 27.14 29.76
394.7123384333 27.15 29.75
395.7127666667 27.13 29.75
396.7143785833 27.13 29.75
397.7156178667 27.13 29.76
398.7156592333 27.13 29.76
399.71606265 27.12 29.74
400.7170074333 27.13 29.75
401.7174250667 27.12 29.76
402.7181573833 27.12 29.76
403.7184759667 27.11 29.74
404.7184951833 27.12 29.74
405.71990925 27.11 29.74
406.720146 27.1 29.73
407.7217816667 27.12 29.72
408.72177715 27.11 29.74
409.7232096167 27.11 29.74
410.723394 27.12 29.74
411.72418565 27.11 29.73
412.7473220167 27.13 29.74
413.7573515833 27.12 29.74
414.7589574333 27.12 29.73
415.76021195 27.12 29.73
