 value | value | time   
 27.02 | 28.12 | 2018-09-12 12 46 15.387829
 27.02 | 28.12 | 2018-09-12 12 47 15.455209
 27 | 28.12 | 2018-09-12 12 48 15.521214
 27 | 28.12 | 2018-09-12 12 49 15.573859
 26.99 | 28.11 | 2018-09-12 12 50 15.63599
 27.03 | 28.1 | 2018-09-12 12 51 15.694062
 26.98 | 28.1 | 2018-09-12 12 52 15.751953
 26.96 | 28.08 | 2018-09-12 12 53 15.821064
 26.98 | 28.07 | 2018-09-12 12 54 15.882078
 27.02 | 28.07 | 2018-09-12 12 55 15.939366
 26.97 | 28.06 | 2018-09-12 12 56 16.001125
 26.97 | 28.07 | 2018-09-12 12 57 16.063077
 26.96 | 28.09 | 2018-09-12 12 58 16.122363
 27 | 28.08 | 2018-09-12 12 59 16.188047
 26.98 | 28.06 | 2018-09-12 13 0 16.252287
 27.01 | 28.06 | 2018-09-12 13 1 16.300236
 27.02 | 28.07 | 2018-09-12 13 2 16.361442
 26.97 | 28.06 | 2018-09-12 13 3 16.418932
 26.97 | 28.05 | 2018-09-12 13 4 16.475521
 26.95 | 28.06 | 2018-09-12 13 5 16.537014
 26.94 | 28.05 | 2018-09-12 13 6 16.595803
 26.95 | 28.05 | 2018-09-12 13 7 16.649324
 26.92 | 28.04 | 2018-09-12 13 8 16.719878
 26.93 | 28.04 | 2018-09-12 13 9 16.778183
 26.98 | 28.02 | 2018-09-12 13 10 16.83822
 26.91 | 28.03 | 2018-09-12 13 11 16.905511
 26.93 | 28.02 | 2018-09-12 13 12 16.968892
 26.96 | 28.02 | 2018-09-12 13 13 17.028991
 26.99 | 28.04 | 2018-09-12 13 14 17.09909
 26.94 | 28.02 | 2018-09-12 13 15 17.161499
 26.94 | 28.02 | 2018-09-12 13 16 17.215042
 26.94 | 28.01 | 2018-09-12 13 17 17.276582
 26.92 | 28.05 | 2018-09-12 13 18 17.337934
 26.93 | 28.04 | 2018-09-12 13 19 17.394365
 26.94 | 28.04 | 2018-09-12 13 20 17.452789
 26.95 | 28.02 | 2018-09-12 13 21 17.505036
 26.94 | 28.01 | 2018-09-12 13 22 17.569167
 26.91 | 28.04 | 2018-09-12 13 23 17.640157
 26.94 | 28.02 | 2018-09-12 13 24 17.705058
 26.92 | 28 | 2018-09-12 13 25 17.762037
 26.89 | 28.02 | 2018-09-12 13 26 17.826969
 26.89 | 28 | 2018-09-12 13 26 36.844799
 26.86 | 28 | 2018-09-12 13 27 36.904156
 26.88 | 28.01 | 2018-09-12 13 28 36.969527
 26.92 | 28.01 | 2018-09-12 13 29 37.048313
 26.91 | 27.99 | 2018-09-12 13 30 37.105843
 26.91 | 27.99 | 2018-09-12 13 31 37.178657
 26.9 | 27.99 | 2018-09-12 13 32 37.256114
 26.92 | 27.98 | 2018-09-12 13 33 37.320642
 26.92 | 27.97 | 2018-09-12 13 34 37.389618
 26.97 | 27.96 | 2018-09-12 13 35 37.457828
 26.95 | 27.94 | 2018-09-12 13 36 37.517553
 26.91 | 27.94 | 2018-09-12 13 37 37.565534
 26.91 | 27.94 | 2018-09-12 13 38 37.641821
 26.85 | 27.97 | 2018-09-12 13 39 37.704444
 26.88 | 27.97 | 2018-09-12 13 40 37.770979
 26.84 | 27.97 | 2018-09-12 13 41 37.834717
 26.84 | 27.96 | 2018-09-12 13 42 37.895372
 26.83 | 27.96 | 2018-09-12 13 43 37.966369
 26.88 | 27.95 | 2018-09-12 13 44 38.039728
 26.9 | 27.92 | 2018-09-12 13 45 38.106016
 26.9 | 27.94 | 2018-09-12 13 46 38.166739
 26.93 | 27.92 | 2018-09-12 13 47 38.242334
 26.86 | 27.94 | 2018-09-12 13 48 38.312809
 26.89 | 27.93 | 2018-09-12 13 49 38.385689
 26.92 | 27.93 | 2018-09-12 13 50 38.452248
 26.84 | 27.92 | 2018-09-12 13 51 38.507877
 26.83 | 27.92 | 2018-09-12 13 52 38.576061
 26.87 | 27.95 | 2018-09-12 13 53 38.650519
 26.86 | 27.93 | 2018-09-12 13 54 38.723037
 26.86 | 27.92 | 2018-09-12 13 55 38.784849
 26.91 | 27.9 | 2018-09-12 13 56 38.853086
 26.86 | 27.88 | 2018-09-12 13 57 38.917233
 26.85 | 27.91 | 2018-09-12 13 58 38.982221
 26.85 | 27.91 | 2018-09-12 13 59 39.06747
 26.88 | 27.91 | 2018-09-12 14 0 39.128428
 26.87 | 27.9 | 2018-09-12 14 1 39.187628
 26.84 | 27.91 | 2018-09-12 14 2 39.260424
 26.85 | 27.88 | 2018-09-12 14 3 39.318653
 26.87 | 27.88 | 2018-09-12 14 4 39.382906
 26.88 | 27.9 | 2018-09-12 14 5 39.458493
 26.84 | 27.9 | 2018-09-12 14 6 39.517816
 26.87 | 27.9 | 2018-09-12 14 7 39.579843
 26.83 | 27.88 | 2018-09-12 14 8 39.657334
 26.85 | 27.86 | 2018-09-12 14 9 39.720204
 26.82 | 27.86 | 2018-09-12 14 10 39.77978
 26.78 | 27.88 | 2018-09-12 14 11 39.846145
 26.79 | 27.9 | 2018-09-12 14 12 39.865773
 26.79 | 27.89 | 2018-09-12 14 13 39.86635
 26.79 | 27.9 | 2018-09-12 14 14 39.943435
 26.79 | 27.89 | 2018-09-12 14 15 39.988212
 26.8 | 27.86 | 2018-09-12 14 16 39.998688
 26.82 | 27.85 | 2018-09-12 14 17 40.034008
 26.82 | 27.86 | 2018-09-12 14 18 40.076151
 26.79 | 27.87 | 2018-09-12 14 19 40.130222
 26.83 | 27.87 | 2018-09-12 14 20 40.223047
 26.81 | 27.86 | 2018-09-12 14 21 40.250349
 26.78 | 27.85 | 2018-09-12 14 22 40.288678
 26.85 | 27.85 | 2018-09-12 14 23 40.300189
 26.82 | 27.84 | 2018-09-12 14 24 40.34643
 26.82 | 27.86 | 2018-09-12 14 25 40.376431
 26.8 | 27.85 | 2018-09-12 14 26 40.389829
 26.81 | 27.85 | 2018-09-12 14 27 40.41709
 26.83 | 27.86 | 2018-09-12 14 28 40.490119
 26.84 | 27.84 | 2018-09-12 14 29 40.580449
 26.84 | 27.84 | 2018-09-12 14 30 40.617224
 26.83 | 27.84 | 2018-09-12 14 31 40.661077
 26.82 | 27.84 | 2018-09-12 14 32 40.699807
 26.8 | 27.83 | 2018-09-12 14 33 40.733447
 26.79 | 27.83 | 2018-09-12 14 34 40.755331
 26.79 | 27.83 | 2018-09-12 14 35 40.822213
 26.81 | 27.83 | 2018-09-12 14 36 40.880015
 26.78 | 27.84 | 2018-09-12 14 37 40.931997
 26.78 | 27.83 | 2018-09-12 14 38 40.962712
 26.78 | 27.83 | 2018-09-12 14 39 41.036581
 26.78 | 27.84 | 2018-09-12 14 40 41.209686
 26.78 | 27.84 | 2018-09-12 14 41 41.267419
 26.77 | 27.82 | 2018-09-12 14 42 41.269396
 26.79 | 27.84 | 2018-09-12 14 43 8.432359
 26.81 | 27.79 | 2018-09-12 14 44 8.497419
 26.79 | 27.79 | 2018-09-12 14 44 36.278557
 26.81 | 27.83 | 2018-09-12 14 45 36.332553
 26.77 | 27.82 | 2018-09-12 14 46 36.40094
 26.85 | 27.82 | 2018-09-12 14 47 36.485077
 26.75 | 27.82 | 2018-09-12 14 48 36.513971
 26.76 | 27.81 | 2018-09-12 14 49 36.583667
 26.75 | 27.8 | 2018-09-12 14 49 58.023093
 26.72 | 27.79 | 2018-09-12 14 50 58.085992
 26.75 | 27.79 | 2018-09-12 14 51 12.575539
 26.81 | 27.78 | 2018-09-12 14 52 12.636061
 26.78 | 27.8 | 2018-09-12 14 53 12.714543
 26.76 | 27.77 | 2018-09-12 14 54 12.789688
 26.76 | 27.78 | 2018-09-12 14 55 12.84804
 26.78 | 27.78 | 2018-09-12 14 56 12.913392
 26.79 | 27.78 | 2018-09-12 14 57 12.986272
 26.77 | 27.77 | 2018-09-12 14 58 13.042658
 26.73 | 27.79 | 2018-09-12 14 59 13.11441
 26.74 | 27.78 | 2018-09-12 15 0 13.150965
 26.76 | 27.78 | 2018-09-12 15 0 54.307488
 26.73 | 27.77 | 2018-09-12 15 1 54.367079
 26.79 | 27.77 | 2018-09-12 15 2 54.431294
